,Site,clc_1,clc_2,clc_3,clc_4,clc_5
12,B0012,6038409.15,290404.21,253441.67,0.0,486328.33
39,B0017,1758775.55,1596366.49,3713441.32,0.0,0.0
41,B0019,0.0,0.0,6689946.33,378637.02,0.0
40,B0021,0.0,269517.65,5856919.35,942146.35,0.0
38,B0023,194534.06,914975.64,4150011.72,1809061.93,0.0
46,B0032,3276606.23,2588230.24,1203746.89,0.0,0.0
24,B0037,2005507.06,4718794.87,344281.42,0.0,0.0
26,B0039,4107825.57,1493814.5,354435.54,348763.87,763743.87
23,B0041,3566139.74,3500995.96,1447.65,0.0,0.0
25,B0043,1757994.03,5073884.75,0.0,0.0,236704.57
22,B0045,3211755.7,2307903.42,612640.71,306948.95,629334.57
28,B0059,1497530.68,4480971.2,631784.1,0.0,458297.38
7,B0061,145892.26,673049.19,6249641.89,0.0,0.0
52,B0067,1227035.6,5507142.23,334405.53,0.0,0.0
59,B0069,1148526.21,5681677.68,238379.47,0.0,0.0
42,B0077,549243.66,6519339.7,0.0,0.0,0.0
29,B0093,1020892.88,5660021.9,387668.57,0.0,0.0
37,B0096,5206697.24,1642365.64,219520.47,0.0,0.0
44,B0103,1654453.99,3345669.39,2068459.97,0.0,0.0
43,B0105,1190847.73,5877735.62,0.0,0.0,0.0
11,B0116,6707084.92,0.0,361498.43,0.0,0.0
3,B0128,7021340.28,47243.07,0.0,0.0,0.0
21,B0140,6916336.76,0.0,0.0,0.0,152246.59
9,B0142,6478879.1,589704.25,0.0,0.0,0.0
60,B0152,5349351.88,1377614.62,341616.86,0.0,0.0
62,B0158,464918.03,6603665.33,0.0,0.0,0.0
20,B0163,7068583.35,0.0,0.0,0.0,0.0
8,F0001,474026.98,3019274.7,3575281.71,0.0,0.0
61,F0003,342511.6,646223.66,6079848.08,0.0,0.0
55,F0005,388781.34,1365657.32,5314144.68,0.0,0.0
58,F0007,0.0,3801293.26,3267290.06,0.0,0.0
56,F0009,73399.23,4907537.46,2087646.67,0.0,0.0
57,F0011,317341.7,2514704.08,4236537.56,0.0,0.0
53,F0013,917192.88,2797724.45,3353665.99,0.0,0.0
54,F0015,309985.41,0.0,6758597.92,0.0,0.0
32,F0017,238272.64,6830310.71,0.0,0.0,0.0
13,F0019,3490280.58,2824458.15,753844.61,0.0,0.0
14,F0020,4005514.26,2730966.18,180261.08,0.0,151841.85
33,F0021,295691.78,4458957.17,2313934.42,0.0,0.0
4,F0023,255925.39,3566308.46,2961621.13,0.0,284728.39
1,F0025,412752.69,1638609.95,5017220.67,0.0,0.0
2,F0027,274174.59,3581889.61,3212519.16,0.0,0.0
34,F0029,2401981.91,4262398.68,404202.67,0.0,0.0
36,F0031,342201.27,4599301.84,2127080.29,0.0,0.0
35,F0033,28109.75,1436800.61,5603672.98,0.0,0.0
27,F0035,0.0,2241128.59,4827454.78,0.0,0.0
10,F0037,5993590.76,0.0,184345.02,50866.27,839781.27
45,F0039,716534.07,5515695.66,836353.64,0.0,0.0
15,F0041,4020489.63,3048093.76,0.0,0.0,0.0
16,F0043,3338600.73,3729982.66,0.0,0.0,0.0
47,F0045,6505367.89,225684.97,0.0,0.0,337530.49
30,F0055,3274818.57,2877458.97,916305.84,0.0,0.0
31,F0057,4115296.78,2953286.57,0.0,0.0,0.0
48,F0059,213146.64,6187825.92,667610.79,0.0,0.0
49,F0061,2837504.99,1746140.31,2484938.06,0.0,0.0
50,F0063,341978.49,4975386.9,1751217.99,0.0,0.0
18,F0065,7068583.33,0.0,0.0,0.0,0.0
19,F0067,3155735.87,338890.13,3573957.36,0.0,0.0
0,F0069,1613626.87,5199955.1,255001.41,0.0,0.0
5,F0071,350233.25,4251895.86,1822475.21,0.0,643979.02
6,F0073,0.0,1019290.87,6049292.49,0.0,0.0
17,F0075,2133363.39,4935219.99,0.0,0.0,0.0
51,FE0001,406681.89,6442268.74,219632.73,0.0,0.0
